Age (kyr),IRM@0.9 AF 120mT (A/m)
189.64,0.518
189.84,0.523
190.04,0.523
190.25,0.515
190.45,0.5
190.65,0.475
190.85,0.442
191.05,0.404
191.25,0.37
191.45,0.342
191.65,0.324
191.85,0.311
192.05,0.303
192.25,0.297
192.45,0.291
192.65,0.282
192.85,0.267
193.05,0.246
193.26,0.217
193.46,0.181
193.66,0.145
193.86,0.11
194.06,0.0824
194.26,0.0597
194.46,0.0435
194.66,0.0325
194.86,0.0256
195.08,0.0217
195.33,0.0198
195.58,0.0195
195.83,0.0202
196.08,0.0218
196.33,0.0237
196.58,0.0256
196.84,0.0279
197.09,0.0316
197.22,0.042
197.47,0.0552
197.72,0.0754
197.97,0.102
198.21,0.136
198.46,0.17
198.71,0.2
198.96,0.226
199.20,0.245
199.45,0.261
199.70,0.275
199.94,0.29
200.19,0.308
200.44,0.329
200.69,0.356
200.93,0.391
201.18,0.432
201.43,0.477
201.67,0.523
201.92,0.562
202.17,0.586
202.42,0.592
202.66,0.578
202.91,0.542
203.16,0.482
203.40,0.405
203.65,0.325
203.90,0.263
204.15,0.214
204.39,0.186
204.64,0.169
204.89,0.164
205.13,0.166
205.38,0.174
205.63,0.186
205.81,0.203
206.00,0.226
206.18,0.256
206.36,0.289
206.55,0.321
206.73,0.351
206.92,0.374
207.10,0.394
207.28,0.411
207.47,0.425
207.65,0.436
207.83,0.445
208.02,0.45
208.20,0.452
208.39,0.453
208.57,0.452
208.75,0.448
208.94,0.436
209.12,0.414
209.31,0.387
209.49,0.364
209.67,0.348
209.86,0.334
210.04,0.32
210.22,0.305
210.41,0.291
210.59,0.277
210.78,0.264
210.96,0.249
211.14,0.233
211.33,0.218
211.51,0.201
211.69,0.185
211.88,0.168
212.06,0.152
212.25,0.137
212.43,0.123
212.61,0.11
212.80,0.101
212.98,0.0947
213.17,
213.35,
213.53,
213.72,
213.90,
214.08,
214.27,
214.45,0.0745
214.64,0.0725
214.82,0.0692
215.00,0.0656
215.19,0.0626
215.37,0.0605
215.55,0.0596
215.74,0.0596
215.92,0.0603
216.11,0.0622
216.29,0.0664
216.47,0.0749
216.66,0.09
216.84,0.115
217.04,0.153
217.37,0.201
217.69,0.253
218.02,0.287
218.34,0.286
218.66,0.253
218.99,0.206
219.31,0.166
219.64,0.138
219.96,0.122
220.28,0.117
220.61,0.12
220.93,0.128
221.26,0.14
221.58,0.153
221.90,0.165
222.23,0.176
222.59,0.187
222.95,0.195
223.32,0.199
223.68,0.198
224.04,0.193
224.41,0.189
224.77,0.191
225.13,0.201
225.49,0.216
225.86,0.236
226.22,0.254
226.58,0.27
226.95,0.283
227.31,0.295
227.67,0.307
228.04,0.315
228.40,0.317
228.76,0.316
229.12,0.314
229.49,0.316
229.85,0.321
230.21,0.326
230.58,0.329
230.94,0.329
231.30,0.328
231.67,0.327
232.03,0.325
232.39,0.325
232.75,0.327
233.12,0.33
233.48,0.332
233.84,0.33
234.21,0.325
234.57,0.319
234.93,0.31
235.30,0.298
235.66,0.282
236.02,0.262
236.38,0.239
236.75,0.215
237.11,0.193
237.47,0.176
237.84,0.161
238.20,0.147
238.56,0.133
238.93,0.119
239.29,0.108
239.65,0.0991
240.05,0.0952
240.35,0.0959
240.65,0.101
240.94,0.109
241.24,0.119
241.54,0.132
241.84,0.147
242.14,0.165
242.44,0.188
242.74,0.213
243.04,0.241
243.34,0.271
243.64,0.302
243.93,0.329
244.23,0.348
244.53,0.355
244.83,0.353
245.13,0.347
245.43,0.339
245.73,0.333
246.03,0.328
246.33,0.326
246.62,0.329
246.92,0.335
247.22,0.343
247.52,0.351
247.82,0.359
248.12,0.369
248.42,0.38
248.72,0.389
249.02,0.397
249.32,0.403
249.61,0.408
249.91,0.411
250.21,0.409
250.51,0.402
250.81,0.391
251.11,0.38
251.41,0.372
251.71,0.369
252.01,0.371
252.30,0.376
252.60,0.383
252.90,0.39
253.20,0.395
253.50,0.396
253.80,0.393
254.10,0.389
254.40,0.386
254.70,0.386
255.00,0.392
255.29,0.402
255.59,0.412
255.89,0.417
256.19,0.411
256.49,0.396
256.79,0.379
257.09,0.366
257.39,0.361
257.69,0.362
257.99,0.363
258.28,0.36
258.58,0.348
258.88,
259.18,
259.48,
259.78,
260.08,
260.38,
260.68,
260.97,
261.27,0.39558
261.57,0.408
261.87,0.41513
262.17,0.42044
262.47,0.42667
262.77,0.43498
263.07,0.44452
263.37,0.45372
263.67,0.46185
263.96,0.46879
264.26,0.47396
264.56,0.47617
264.86,0.47563
265.10,0.47341
265.33,0.47017
265.57,0.46654
265.80,0.46436
266.04,0.46684
266.27,0.47583
266.51,0.49015
266.74,0.50428
266.98,0.51439
267.22,0.51834
267.45,0.51542
267.69,0.506
267.92,0.49072
268.18,0.46987
268.45,0.44508
